open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1677628800000,1604.73,1610.49,1593.03,1600.79,240322.066,1677632399999,385119823.82997,151937,118495.109,189921023.20224,0
1677632400000,1600.80,1615.04,1598.23,1613.13,145980.752,1677635999999,234868044.59145,102578,77126.185,124088979.22974,0
1677636000000,1613.14,1621.00,1612.60,1620.99,104408.154,1677639599999,168732873.19015,69668,60365.840,97570875.33073,0
1677639600000,1620.99,1639.99,1619.05,1637.68,358849.242,1677643199999,585530130.93015,204608,195839.800,319529763.32161,0
1677643200000,1637.69,1660.31,1635.00,1658.57,345050.299,1677646799999,568784442.41982,199314,201327.888,331947624.24259,0
1677646800000,1658.57,1661.53,1647.53,1650.23,201427.240,1677650399999,333030661.99766,137495,100923.047,166864854.99944,0
1677650400000,1650.29,1659.58,1648.23,1654.00,160788.513,1677653999999,266008054.45030,98094,93928.316,155432980.09292,0
1677654000000,1654.01,1655.71,1649.46,1650.33,108124.262,1677657599999,178689607.30427,75859,50151.299,82887612.25148,0
1677657600000,1650.34,1669.76,1648.36,1658.15,219018.734,1677661199999,363130440.50100,134483,124328.515,206170170.42790,0
1677661200000,1658.15,1660.55,1650.74,1652.50,127571.056,1677664799999,211083539.91783,95093,60093.357,99431212.45374,0
1677664800000,1652.50,1656.94,1650.38,1656.33,74374.800,1677668399999,122956954.42311,58422,41485.843,68591626.65237,0
1677668400000,1656.34,1656.41,1652.70,1655.80,54261.880,1677671999999,89785055.72864,47669,26070.509,43139052.98479,0
1677672000000,1655.80,1658.70,1650.50,1652.20,99924.111,1677675599999,165346512.35353,74840,47042.974,77857600.31445,0
1677675600000,1652.19,1653.02,1645.55,1650.83,169341.055,1677679199999,279392995.00151,114846,82959.828,136881456.13474,0
1677679200000,1650.83,1670.00,1646.92,1653.51,397663.209,1677682799999,659443227.82512,234740,207257.633,343773701.60144,0
1677682800000,1653.54,1660.75,1647.12,1657.03,335600.999,1677686399999,555183396.38693,220803,173775.078,287507583.75744,0
1677686400000,1657.03,1659.00,1641.05,1654.89,301041.192,1677689999999,496668550.36566,200657,147878.878,244010744.37117,0
1677690000000,1654.89,1659.98,1653.56,1656.11,105669.464,1677693599999,175093579.30065,84403,53581.949,88793754.06709,0
1677693600000,1656.11,1657.61,1650.36,1654.37,81806.037,1677697199999,135319515.44831,66097,40981.930,67795873.27663,0
1677697200000,1654.37,1654.84,1630.11,1634.43,245760.937,1677700799999,403205450.51419,146688,110824.417,181812243.00079,0
1677700800000,1634.42,1643.90,1630.49,1642.00,169784.772,1677704399999,278229326.40107,113603,88183.035,144502285.02465,0
1677704400000,1642.00,1658.71,1638.45,1656.41,162069.162,1677707999999,267531401.84110,112782,90350.452,149117717.75849,0
1677708000000,1656.41,1658.00,1647.01,1655.64,105179.906,1677711599999,173841003.72539,85498,54761.192,90515507.69002,0
1677711600000,1655.65,1666.00,1652.35,1664.46,141434.533,1677715199999,234767037.56566,99454,76333.905,126715389.89622,0
