open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743465600000,1821.59,1823.77,1819.01,1823.76,10082.047,1743465899999,18360257.98829,9550,5600.446,10198775.76395,0
1743465900000,1823.76,1826.24,1823.76,1825.02,13053.084,1743466199999,23823721.46591,10264,6023.670,10994191.84802,0
1743466200000,1825.03,1825.18,1820.47,1821.47,6334.346,1743466499999,11546390.04807,6148,1939.764,3535595.27982,0
1743466500000,1821.48,1824.74,1820.11,1824.39,9257.432,1743466799999,16861331.22920,7821,4976.800,9065350.63635,0
1743466800000,1824.39,1827.00,1823.59,1825.88,7855.421,1743467099999,14342180.73884,7856,4445.623,8117857.68472,0
1743467100000,1825.89,1829.36,1825.30,1826.38,10693.623,1743467399999,19545195.79892,7431,5786.653,10577783.27045,0
1743467400000,1826.37,1828.80,1822.86,1823.57,8577.134,1743467699999,15655343.07269,9176,3521.861,6428991.20974,0
1743467700000,1823.58,1826.13,1822.51,1825.50,4156.903,1743467999999,7583454.84314,5750,2317.472,4228088.97716,0
1743468000000,1825.50,1825.77,1822.33,1824.92,4365.924,1743468299999,7964131.80795,7078,1863.619,3399418.75290,0
1743468300000,1824.93,1826.95,1821.54,1822.35,6699.306,1743468599999,12217780.11950,8648,2871.037,5236139.80712,0
1743468600000,1822.35,1842.57,1816.64,1825.30,121115.851,1743468899999,221671799.97688,66800,76905.040,140831484.75879,0
1743468900000,1825.30,1832.21,1824.93,1831.20,16738.902,1743469199999,30610775.05476,17483,9099.320,16640526.97529,0
1743469200000,1831.19,1832.45,1828.26,1829.64,14035.424,1743469499999,25686068.69146,16838,5840.479,10687621.66251,0
1743469500000,1829.64,1829.99,1822.89,1823.76,12084.558,1743469799999,22066764.15394,13393,4158.090,7591843.29153,0
1743469800000,1823.75,1825.14,1820.00,1825.14,21877.048,1743470099999,39865028.25497,13477,7701.131,14038568.26424,0
1743470100000,1825.13,1828.26,1823.92,1823.99,6499.322,1743470399999,11870347.57731,10253,3022.378,5520774.10297,0
1743470400000,1823.99,1825.30,1822.51,1825.27,4621.450,1743470699999,8429459.68641,6263,1914.350,3491655.28023,0
1743470700000,1825.27,1828.31,1825.27,1827.40,3335.623,1743470999999,6093793.68417,6617,2112.437,3859132.65649,0
1743471000000,1827.39,1828.30,1823.00,1823.93,5843.915,1743471299999,10665506.12016,9239,2375.844,4336160.47236,0
1743471300000,1823.93,1825.31,1822.71,1823.01,3318.889,1743471599999,6052773.34577,6248,1537.410,2803959.42676,0
1743471600000,1823.00,1823.38,1820.70,1821.50,8020.550,1743471899999,14611780.17047,8015,2800.603,5102242.77671,0
1743471900000,1821.49,1827.54,1821.49,1825.00,12747.892,1743472199999,23269739.18584,10321,8181.791,14933458.07587,0
1743472200000,1825.00,1826.43,1822.53,1823.54,4057.626,1743472499999,7403998.13915,7100,1845.650,3367650.67969,0
1743472500000,1823.54,1826.30,1823.43,1825.52,2771.994,1743472799999,5058994.18126,4136,1862.550,3398739.51146,0
1743472800000,1825.51,1826.50,1823.38,1825.52,3602.385,1743473099999,6574996.82040,6866,1906.203,3479198.74857,0
1743473100000,1825.53,1829.70,1824.46,1829.26,6583.864,1743473399999,12034559.31716,7363,4006.139,7322845.16913,0
1743473400000,1829.25,1830.35,1827.67,1830.33,6439.349,1743473699999,11778618.63982,7452,3290.221,6018653.86383,0
1743473700000,1830.34,1834.37,1830.34,1832.29,10793.902,1743473999999,19774855.10368,12864,6382.501,11693381.95996,0
1743474000000,1832.28,1832.85,1829.66,1831.95,5686.718,1743474299999,10415971.27070,7675,2331.493,4270789.93681,0
1743474300000,1831.96,1832.80,1830.09,1830.90,3502.509,1743474599999,6414542.77125,5569,1969.472,3606680.66543,0
1743474600000,1830.90,1831.68,1828.68,1830.20,5857.955,1743474899999,10718728.38445,7368,2892.521,5292570.91815,0
1743474900000,1830.19,1830.54,1828.73,1830.37,3193.767,1743475199999,5842943.08384,4910,1524.332,2788874.96741,0
1743475200000,1830.38,1835.42,1830.37,1834.29,7292.113,1743475499999,13369633.61926,9009,4300.052,7883778.14723,0
1743475500000,1834.29,1835.82,1833.56,1835.49,11596.851,1743475799999,21279425.35581,9356,8050.568,14772178.85559,0
1743475800000,1835.50,1837.12,1834.71,1835.61,6685.338,1743476099999,12275936.06435,7458,3899.122,7159923.52389,0
1743476100000,1835.60,1838.70,1835.60,1838.53,8318.370,1743476399999,15283812.96761,9970,5252.736,9651397.46726,0
1743476400000,1838.52,1839.99,1836.55,1838.68,12368.866,1743476699999,22739405.80872,12208,5986.518,11006715.25440,0
1743476700000,1838.68,1838.73,1836.00,1837.08,5648.953,1743476999999,10377474.74518,7475,2831.477,5201447.83301,0
1743477000000,1837.08,1840.60,1836.97,1838.87,10096.613,1743477299999,18566340.00160,7799,7212.905,13263557.60065,0
1743477300000,1838.86,1839.88,1836.48,1836.71,5037.724,1743477599999,9260009.57220,6681,2058.418,3784165.86470,0
1743477600000,1836.71,1836.90,1834.58,1836.44,6591.884,1743477899999,12100457.55456,7762,3066.906,5629978.18798,0
1743477900000,1836.44,1837.05,1833.50,1833.75,7416.953,1743478199999,13607527.98465,5651,1825.616,3350709.85500,0
1743478200000,1833.76,1837.66,1833.11,1837.65,6447.488,1743478499999,11826407.09897,6939,4167.073,7644198.85770,0
1743478500000,1837.65,1837.86,1834.00,1834.95,6299.152,1743478799999,11562030.51518,5897,1839.535,3376124.90311,0
1743478800000,1834.95,1835.73,1834.37,1834.41,3090.667,1743479099999,5671124.45721,4307,1733.250,3180290.21287,0
1743479100000,1834.40,1836.85,1833.70,1836.06,3307.882,1743479399999,6069877.90508,4780,1827.402,3353537.25053,0
1743479400000,1836.05,1836.05,1833.57,1834.13,4745.448,1743479699999,8704354.67696,4154,1901.977,3488562.50383,0
1743479700000,1834.13,1834.31,1832.20,1834.25,4674.674,1743479999999,8570088.52506,4865,1838.900,3371372.04017,0
1743480000000,1834.25,1836.00,1832.64,1835.85,4599.208,1743480299999,8439067.56095,6114,2997.648,5500800.44907,0
1743480300000,1835.85,1835.85,1831.47,1832.75,10352.803,1743480599999,18977454.39069,8283,3555.286,6515144.45992,0
1743480600000,1832.75,1834.50,1832.50,1833.03,6094.667,1743480899999,11174175.45229,4527,3360.692,6161222.44392,0
1743480900000,1833.02,1833.43,1831.23,1832.08,4527.351,1743481199999,8295634.56408,5386,2116.848,3878795.40604,0
1743481200000,1832.07,1834.81,1832.07,1833.80,3971.572,1743481499999,7283277.74947,5691,2736.390,5017992.66797,0
1743481500000,1833.80,1837.16,1833.50,1835.90,5047.563,1743481799999,9266529.10362,5336,3512.665,6448340.08270,0
1743481800000,1835.90,1837.50,1834.40,1837.23,5077.164,1743482099999,9322469.76179,5022,2313.434,4247840.87006,0
1743482100000,1837.23,1839.47,1836.89,1838.00,11723.740,1743482399999,21550477.09517,8253,9340.628,17169268.13025,0
1743482400000,1838.00,1839.80,1837.92,1838.29,5074.735,1743482699999,9332276.02882,6607,2242.458,4123938.23965,0
1743482700000,1838.29,1839.00,1836.81,1838.83,5286.137,1743482999999,9714746.34948,4960,1688.598,3103717.48918,0
1743483000000,1838.82,1838.83,1836.50,1837.88,4501.561,1743483299999,8271597.53473,4776,2378.702,4371087.05685,0
