open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1677628800000,1604.73,1605.37,1603.89,1604.56,18530.501,1677629099999,29733943.68708,8964,10456.223,16778345.83131,0
1677629100000,1604.57,1604.57,1598.40,1599.34,21364.038,1677629399999,34215576.22422,13227,5790.865,9275168.96845,0
1677629400000,1599.35,1604.82,1598.98,1604.40,26335.902,1677629699999,42177934.87139,14739,18107.385,28995633.95763,0
1677629700000,1604.41,1606.39,1604.29,1606.38,16057.368,1677629999999,25779362.28864,10535,9868.283,15843480.15560,0
1677630000000,1606.39,1608.81,1605.51,1607.57,14971.818,1677630299999,24064189.31185,10612,6799.279,10928593.45963,0
1677630300000,1607.57,1607.97,1605.05,1605.32,11901.721,1677630599999,19122182.60820,8049,4177.099,6711579.72894,0
1677630600000,1605.35,1610.49,1605.35,1608.90,17524.946,1677630899999,28193350.70815,12032,12395.535,19940177.34089,0
1677630900000,1608.91,1609.94,1607.91,1608.23,5781.556,1677631199999,9300295.39111,5829,2309.296,3714701.14218,0
1677631200000,1608.23,1609.45,1606.15,1606.15,10246.665,1677631499999,16472368.89418,6937,4236.267,6809640.75513,0
1677631500000,1606.15,1606.84,1602.51,1602.51,11252.291,1677631799999,18059237.05463,8943,4742.952,7613268.09247,0
1677631800000,1602.52,1603.03,1593.03,1596.19,56557.938,1677632099999,90366704.35486,34074,22383.860,35773475.01046,0
1677632100000,1596.19,1601.32,1595.58,1600.79,29797.322,1677632399999,47634678.43566,17996,17228.065,27536958.75955,0
1677632400000,1600.80,1603.15,1598.23,1602.49,18318.474,1677632699999,29339152.75420,12581,10279.776,16463197.52661,0
1677632700000,1602.50,1604.42,1601.10,1602.91,6980.841,1677632999999,11192145.60522,7002,3771.539,6047011.97007,0
1677633000000,1602.90,1605.99,1602.82,1605.91,9435.039,1677633299999,15143482.51176,7460,4224.323,6779875.56940,0
1677633300000,1605.91,1606.84,1603.95,1605.09,11766.737,1677633599999,18893269.79104,7681,4344.744,6976477.82050,0
1677633600000,1605.08,1607.56,1605.08,1606.77,7707.464,1677633899999,12381292.56754,5919,4957.983,7964538.94462,0
1677633900000,1606.77,1608.12,1605.70,1608.12,4938.373,1677634199999,7934853.38820,4341,2730.904,4388408.76355,0
1677634200000,1608.12,1614.52,1608.12,1614.31,35823.256,1677634499999,57732768.41775,21464,22260.399,35870762.09335,0
1677634500000,1614.31,1615.04,1611.16,1611.90,17072.636,1677634799999,27529286.08303,11482,7551.191,12177660.13419,0
1677634800000,1611.91,1611.91,1610.02,1611.56,7951.062,1677635099999,12807162.25793,5668,3573.923,5756553.87477,0
1677635100000,1611.56,1612.19,1610.71,1612.18,5814.478,1677635399999,9370178.89501,5187,2696.419,4345736.40153,0
1677635400000,1612.18,1614.86,1611.92,1612.68,9518.549,1677635699999,15356263.26074,7434,4840.126,7808255.93008,0
1677635700000,1612.68,1614.33,1612.01,1613.13,10653.843,1677635999999,17188189.05903,6359,5894.858,9510500.20107,0
1677636000000,1613.14,1614.11,1612.76,1612.82,7923.647,1677636299999,12784534.87825,5423,3545.826,5721192.59527,0
1677636300000,1612.82,1613.29,1612.72,1612.89,3267.171,1677636599999,5269732.78918,3187,1278.098,2061469.30381,0
1677636600000,1612.89,1614.45,1612.88,1614.22,5928.614,1677636899999,9567533.18288,3942,3215.531,5188771.85986,0
1677636900000,1614.22,1615.00,1613.95,1614.89,7628.520,1677637199999,12317441.34691,4420,4019.828,6490680.12026,0
1677637200000,1614.89,1614.94,1613.21,1613.21,4132.645,1677637499999,6671274.31692,4104,1288.174,2079648.95955,0
1677637500000,1613.21,1614.56,1612.80,1613.01,5116.671,1677637799999,8256210.54427,3847,2134.990,3444876.20870,0
1677637800000,1613.02,1616.00,1612.60,1615.99,15232.078,1677638099999,24593317.38173,6644,11912.176,19235135.91653,0
1677638100000,1615.99,1617.40,1614.51,1614.82,14167.211,1677638399999,22900587.63249,9759,8317.884,13445975.18469,0
1677638400000,1614.82,1617.37,1614.81,1616.16,6634.686,1677638699999,10723752.27862,4737,3369.277,5445197.02969,0
1677638700000,1616.23,1618.35,1616.23,1616.70,7616.303,1677638999999,12318709.00868,5931,3808.563,6160211.05686,0
1677639000000,1616.70,1620.34,1616.70,1619.51,14988.104,1677639299999,24264381.42994,9776,10371.657,16791991.70080,0
1677639300000,1619.50,1621.00,1618.08,1620.99,11772.504,1677639599999,19065398.40028,7898,7103.836,11505725.39471,0
1677639600000,1620.99,1621.94,1619.05,1621.15,14363.687,1677639899999,23273036.73985,9452,6035.827,9780586.31255,0
1677639900000,1621.15,1624.60,1620.21,1620.99,35470.262,1677640199999,57544170.05561,19000,19724.805,32005837.63999,0
1677640200000,1621.00,1629.99,1619.39,1628.22,49560.794,1677640499999,80551521.70453,26644,30407.749,49422161.15181,0
1677640500000,1628.23,1637.57,1628.23,1630.77,86382.210,1677640799999,141121399.02660,47347,49345.651,80613445.48392,0
1677640800000,1630.77,1634.55,1630.00,1632.65,27883.976,1677641099999,45505585.59238,17986,16869.277,27532620.32324,0
1677641100000,1632.65,1636.43,1631.90,1633.10,39920.413,1677641399999,65264073.23969,19244,23125.265,37804715.95942,0
1677641400000,1633.10,1636.00,1633.09,1635.00,11569.044,1677641699999,18913874.75526,10275,6410.182,10480086.76479,0
1677641700000,1635.01,1637.56,1635.01,1636.45,16206.421,1677641999999,26518697.86441,10252,8062.446,13193594.67250,0
