open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1690848000000,1855.40,1855.83,1854.27,1855.18,11557.091,1690848899999,21437706.73430,9635,6457.023,11977495.32627,0
1690848900000,1855.18,1858.12,1854.94,1858.10,15201.201,1690849799999,28228575.22932,10367,8361.127,15526040.31159,0
1690849800000,1858.10,1860.00,1857.78,1859.79,13754.502,1690850699999,25573601.71032,10974,9074.405,16872092.01672,0
1690850700000,1859.78,1861.74,1859.47,1860.99,17033.736,1690851599999,31692735.66496,10061,10928.333,20332792.20854,0
1690851600000,1860.99,1863.99,1860.99,1861.92,21083.597,1690852499999,39264212.12056,16620,10945.770,20384932.31611,0
1690852500000,1861.92,1862.33,1856.91,1856.99,15914.494,1690853399999,29588881.51953,12298,5511.962,10248884.90765,0
1690853400000,1856.98,1857.35,1854.14,1856.11,16627.286,1690854299999,30852624.95344,15509,6923.708,12846837.86193,0
1690854300000,1856.10,1856.57,1850.51,1852.00,28320.677,1690855199999,52464454.18982,23878,12424.544,23015643.44387,0
1690855200000,1851.99,1853.13,1808.47,1821.78,332868.302,1690856099999,608317468.59851,180787,134639.789,245876074.28658,0
1690856100000,1821.78,1827.41,1821.23,1826.03,89956.423,1690856999999,164198895.67764,62305,44985.322,82110414.67210,0
1690857000000,1826.02,1829.90,1824.28,1828.79,51670.414,1690857899999,94400350.67431,35267,29411.808,53738643.76626,0
1690857900000,1828.80,1829.07,1826.48,1827.98,20924.454,1690858799999,38247157.91487,18726,11228.010,20523721.14672,0
1690858800000,1827.97,1828.65,1825.24,1828.26,32445.801,1690859699999,59281180.59905,24674,15623.057,28546274.90624,0
1690859700000,1828.26,1828.59,1825.53,1825.96,14329.734,1690860599999,26176359.06266,15132,6019.546,10996297.54052,0
1690860600000,1825.96,1826.94,1824.42,1825.85,22604.642,1690861499999,41263254.92491,20849,11288.946,20607265.22244,0
1690861500000,1825.85,1826.23,1824.57,1825.62,15537.142,1690862399999,28361896.16333,16349,6861.053,12524289.00787,0
1690862400000,1825.63,1825.63,1822.24,1823.38,28176.856,1690863299999,51396443.09874,21665,11371.063,20741981.61184,0
1690863300000,1823.37,1824.25,1820.41,1822.96,32822.286,1690864199999,59820439.55578,23806,17815.184,32468888.82337,0
1690864200000,1822.96,1826.86,1822.05,1825.40,25146.588,1690865099999,45891968.08491,17679,15174.252,27693498.97248,0
1690865100000,1825.40,1826.33,1824.41,1824.48,8793.150,1690865999999,16049370.56188,9359,4184.032,7636808.74602,0
1690866000000,1824.49,1825.60,1824.09,1824.31,11474.051,1690866899999,20939812.38435,10432,5780.146,10548321.36873,0
1690866900000,1824.31,1826.09,1823.90,1825.77,10786.980,1690867799999,19689120.56612,10362,5691.123,10388060.14199,0
1690867800000,1825.76,1827.72,1824.83,1827.59,12620.096,1690868699999,23050951.52889,10537,6850.212,12512564.94753,0
1690868700000,1827.58,1829.27,1827.01,1829.00,15013.815,1690869599999,27449024.95762,11166,8083.386,14778604.84523,0
1690869600000,1829.01,1830.20,1827.04,1830.00,13234.605,1690870499999,24201745.26664,11966,7027.323,12851244.73072,0
1690870500000,1830.00,1830.84,1828.20,1830.81,14486.287,1690871399999,26504338.59408,12438,7606.523,13917183.31686,0
1690871400000,1830.81,1835.50,1830.61,1832.45,42604.718,1690872299999,78111568.92594,28812,23137.058,42418168.24133,0
1690872300000,1832.44,1832.52,1830.71,1831.28,12533.049,1690873199999,22957801.65684,12129,5108.217,9356897.05877,0
1690873200000,1831.29,1832.04,1829.96,1830.67,22007.089,1690874099999,40292950.21438,15672,10573.829,19359990.33122,0
1690874100000,1830.68,1831.85,1828.69,1831.31,17608.226,1690874999999,32225084.16706,11986,9078.491,16615087.57846,0
1690875000000,1831.31,1833.46,1831.00,1832.95,11455.408,1690875899999,20990842.66339,9538,6958.152,12749762.87278,0
1690875900000,1832.95,1833.90,1832.04,1833.19,11649.506,1690876799999,21355047.52651,9521,6628.685,12150941.65865,0
1690876800000,1833.18,1834.29,1832.06,1832.06,14866.912,1690877699999,27253188.16916,12464,5549.440,10173364.71350,0
1690877700000,1832.07,1836.36,1831.96,1835.28,22717.857,1690878599999,41668964.99732,14933,13697.510,25124484.95429,0
1690878600000,1835.28,1835.85,1833.26,1833.99,23295.723,1690879499999,42737995.61043,13499,8305.506,15236899.66541,0
1690879500000,1833.99,1836.50,1833.17,1836.33,11134.145,1690880399999,20426802.21974,8238,6863.674,12593259.19198,0
1690880400000,1836.34,1836.50,1833.71,1833.86,18250.401,1690881299999,33489960.49497,11858,6789.205,12458185.21085,0
1690881300000,1833.86,1834.20,1831.65,1832.15,13736.977,1690882199999,25177858.72483,11100,5573.079,10214860.60840,0
1690882200000,1832.15,1832.87,1831.60,1832.30,8224.052,1690883099999,15069104.22694,7755,3621.951,6636539.25290,0
1690883100000,1832.31,1832.98,1831.21,1831.87,10807.550,1690883999999,19799582.18728,8927,5357.744,9815079.53612,0
1690884000000,1831.88,1832.63,1831.37,1831.68,8252.847,1690884899999,15118955.40214,7394,3950.683,7237684.36814,0
1690884900000,1831.68,1832.09,1830.92,1831.35,9367.133,1690885799999,17156605.65801,6336,3144.561,5759629.63067,0
1690885800000,1831.36,1834.22,1831.35,1833.99,9266.608,1690886699999,16987033.86383,5694,6413.942,11757342.47597,0
1690886700000,1834.00,1834.60,1833.36,1833.37,6606.531,1690887599999,12116577.02474,6047,2914.262,5344697.99845,0
1690887600000,1833.37,1834.18,1833.19,1834.14,6295.232,1690888499999,11543600.96334,7129,3036.057,5567256.71604,0
1690888500000,1834.14,1834.25,1832.03,1832.04,8147.946,1690889399999,14937730.75631,7727,3015.056,5528263.23234,0
1690889400000,1832.04,1832.04,1829.48,1830.40,18749.553,1690890299999,34319158.35239,13350,8378.950,15336389.77666,0
1690890300000,1830.41,1831.49,1830.01,1830.01,6077.454,1690891199999,11126111.50711,7544,2722.118,4983590.97873,0
1690891200000,1830.02,1831.17,1829.20,1829.75,13244.378,1690892099999,24239610.94506,10557,7169.982,13122904.08093,0
1690892100000,1829.74,1830.33,1827.27,1828.15,20865.298,1690892999999,38157534.44690,14134,6980.367,12765766.82101,0
1690893000000,1828.14,1835.84,1826.50,1833.03,40683.575,1690893899999,74530439.04845,29030,23313.612,42711790.02985,0
1690893900000,1833.03,1833.34,1830.26,1831.23,13963.568,1690894799999,25573403.36363,9867,5458.425,9997096.26533,0
1690894800000,1831.24,1832.59,1830.57,1832.20,14779.183,1690895699999,27071755.75197,10491,7525.957,13785708.69404,0
1690895700000,1832.20,1835.00,1832.19,1834.85,16947.381,1690896599999,31072256.12672,11492,11961.263,21930621.25167,0
1690896600000,1834.86,1834.98,1832.13,1832.46,13086.978,1690897499999,23993427.34272,10905,5840.345,10706907.18595,0
1690897500000,1832.46,1835.46,1831.82,1832.77,15532.936,1690898399999,28484104.61256,12844,7239.899,13277327.96408,0
1690898400000,1832.76,1834.60,1830.84,1830.84,18450.816,1690899299999,33816638.85341,15961,8317.601,15245250.79676,0
1690899300000,1830.85,1835.09,1830.51,1833.41,19150.338,1690900199999,35103883.99668,14415,10956.847,20084405.57977,0
1690900200000,1833.41,1834.36,1829.23,1829.43,20948.164,1690901099999,38373759.97471,16628,9576.246,17543456.46210,0
1690901100000,1829.44,1830.16,1825.50,1827.08,33116.608,1690901999999,60547499.55618,22330,13718.561,25081845.30115,0
1690902000000,1827.08,1829.46,1824.04,1827.42,35160.491,1690902899999,64223524.71194,25225,16900.820,30873630.15237,0
1690902900000,1827.42,1829.64,1826.26,1826.97,17070.041,1690903799999,31199519.45489,15044,8599.886,15718026.04600,0
1690903800000,1826.96,1833.46,1810.84,1832.70,173844.597,1690904699999,317012228.73037,96936,86826.222,158401051.00362,0
1690904700000,1832.71,1836.05,1830.04,1834.24,54079.069,1690905599999,99140079.13385,36170,29563.543,54198030.13540,0
1690905600000,1834.24,1841.64,1833.72,1838.04,95093.146,1690906499999,174775122.11367,56038,52360.979,96227530.16276,0
1690906500000,1838.03,1838.12,1830.94,1832.17,44315.300,1690907399999,81262037.76917,26928,16494.379,30244785.52919,0
1690907400000,1832.17,1833.29,1828.71,1831.35,29642.060,1690908299999,54271982.83377,23891,13282.011,24317196.78609,0
1690908300000,1831.35,1833.47,1829.22,1833.01,16169.206,1690909199999,29613786.92338,14319,8622.447,15791067.59451,0
1690909200000,1833.02,1836.32,1832.90,1834.41,19498.891,1690910099999,35774547.32887,15190,10995.426,20173095.08941,0
1690910100000,1834.42,1837.26,1834.06,1835.39,13775.568,1690910999999,25289336.64251,11247,7648.690,14041359.76432,0
1690911000000,1835.39,1835.77,1833.82,1835.59,13863.155,1690911899999,25437600.84585,10768,7296.046,13387983.15687,0
1690911900000,1835.59,1837.25,1835.41,1836.61,12146.003,1690912799999,22304968.90972,9625,7145.977,13122686.29782,0
1690912800000,1836.61,1841.26,1836.61,1839.23,32069.997,1690913699999,58982631.89304,21246,17357.744,31921680.20156,0
1690913700000,1839.23,1845.84,1839.23,1842.09,62457.875,1690914599999,115122657.39110,41810,34272.831,63170414.51528,0
1690914600000,1842.09,1847.12,1842.08,1846.16,44446.301,1690915499999,82018689.90365,25901,24283.070,44809244.92982,0
1690915500000,1846.15,1853.44,1845.74,1852.72,89116.906,1690916399999,164803473.50508,44078,59163.296,109421027.04651,0
1690916400000,1852.73,1857.38,1850.03,1850.84,89328.274,1690917299999,165554799.53681,60167,44313.516,82140674.67645,0
1690917300000,1850.84,1852.20,1849.53,1849.81,20185.150,1690918199999,37357436.94530,18634,8606.262,15927916.33951,0
1690918200000,1849.82,1851.42,1847.37,1849.50,26142.276,1690919099999,48342946.33909,20786,10020.929,18533008.18786,0
1690919100000,1849.49,1851.47,1849.49,1850.51,14798.492,1690919999999,27386755.58553,18106,7283.483,13478716.22425,0
