open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717459200000,3769.14,3772.00,3720.00,3761.84,158815.939,1717462799999,596072137.91400,217071,68070.381,255640479.66968,0
1717462800000,3761.84,3783.67,3754.00,3777.12,64374.943,1717466399999,242631415.00739,102511,34384.275,129624282.07019,0
1717466400000,3777.13,3784.00,3770.06,3773.92,41036.959,1717469999999,155000815.65002,72070,17497.583,66098961.72537,0
1717470000000,3773.92,3787.78,3773.00,3775.27,42536.963,1717473599999,160789679.16519,74285,23867.519,90219354.27414,0
1717473600000,3775.27,3780.00,3765.11,3766.22,39595.944,1717477199999,149422726.27521,71128,18608.324,70241519.44801,0
1717477200000,3766.21,3776.13,3760.08,3764.09,32010.890,1717480799999,120590608.46534,71963,14974.765,56424007.40617,0
1717480800000,3764.09,3772.00,3754.09,3765.42,53742.271,1717484399999,202187472.73291,85995,25859.308,97291424.89596,0
1717484400000,3765.42,3781.20,3764.78,3777.00,33982.791,1717487999999,128268135.43177,67046,18084.248,68258240.98883,0
1717488000000,3777.00,3785.50,3761.93,3763.61,50979.070,1717491599999,192270175.09185,87256,23544.222,88811023.35819,0
1717491600000,3763.61,3766.00,3743.15,3750.96,97346.969,1717495199999,365569347.23200,148718,47640.109,178933675.10103,0
1717495200000,3750.96,3773.46,3749.03,3768.17,60189.547,1717498799999,226505059.52044,96498,34958.410,131541237.06251,0
1717498800000,3768.17,3771.63,3758.76,3767.02,34573.315,1717502399999,130222638.15757,75478,15532.405,58507129.80451,0
1717502400000,3767.02,3771.48,3755.13,3766.16,71986.547,1717505999999,270913584.26724,112047,39646.771,149215394.40708,0
1717506000000,3766.17,3791.39,3766.11,3778.33,140413.509,1717509599999,530826076.79669,212264,69951.890,264449899.17285,0
1717509600000,3778.33,3798.86,3770.07,3780.90,139020.162,1717513199999,526175925.74495,240385,69931.127,264692909.83093,0
1717513200000,3780.90,3821.91,3773.48,3813.10,167590.745,1717516799999,637485359.44156,257853,87193.178,331704345.58591,0
1717516800000,3813.11,3830.00,3804.72,3821.68,157670.912,1717520399999,601984844.65656,222787,74741.856,285429510.80076,0
1717520400000,3821.69,3835.11,3807.17,3816.31,102776.626,1717523999999,392668887.58224,155223,53216.447,203346423.04452,0
1717524000000,3816.30,3829.00,3814.04,3814.26,39639.691,1717527599999,151491887.58366,84681,20508.973,78390652.05925,0
1717527600000,3814.25,3814.83,3777.77,3802.53,98952.076,1717531199999,375506353.84066,138709,46138.582,175130717.79215,0
1717531200000,3802.53,3815.68,3795.10,3808.87,37063.464,1717534799999,140980428.59727,71500,19448.793,73987880.52005,0
1717534800000,3808.87,3825.00,3805.54,3815.34,26220.321,1717538399999,100018784.66435,60046,14347.707,54736063.22373,0
1717538400000,3815.34,3825.10,3810.02,3817.45,33208.457,1717541999999,126765884.23872,65857,17780.990,67880348.47054,0
1717542000000,3817.45,3819.00,3810.73,3813.12,33782.211,1717545599999,128899180.48190,51230,15464.008,59012178.46470,0
