open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1680307200000,1820.81,1824.10,1820.48,1823.72,15441.287,1680308099999,28136997.69850,12299,10005.949,18233660.28738,0
1680308100000,1823.73,1827.00,1822.34,1823.61,20234.874,1680308999999,36922292.19403,17660,10329.146,18848141.21934,0
1680309000000,1823.61,1824.17,1819.00,1820.77,18172.416,1680309899999,33099862.83915,16540,8027.516,14621683.18591,0
1680309900000,1820.77,1822.42,1819.33,1822.42,8768.656,1680310799999,15966823.63544,9035,4895.962,8915612.19353,0
1680310800000,1822.42,1823.91,1820.76,1823.11,14099.989,1680311699999,25695378.78450,13464,7524.562,13712814.47235,0
1680311700000,1823.11,1825.00,1822.79,1824.45,8537.357,1680312599999,15572788.04819,10096,4841.161,8830631.16855,0
1680312600000,1824.46,1828.00,1824.45,1825.71,13835.255,1680313499999,25263595.14999,13639,7877.933,14385344.11608,0
1680313500000,1825.72,1834.44,1825.29,1833.07,39224.691,1680314399999,71788037.80650,28404,25496.481,46663004.24035,0
1680314400000,1833.08,1842.80,1831.75,1832.21,92505.846,1680315299999,169992266.41839,62881,49352.868,90710312.51317,0
1680315300000,1832.22,1834.00,1825.53,1829.15,35493.601,1680316199999,64927647.46643,29729,17587.647,32173527.71782,0
1680316200000,1829.15,1829.16,1823.55,1825.90,26531.585,1680317099999,48448916.64481,22936,11836.193,21615633.83960,0
1680317100000,1825.90,1829.52,1825.56,1828.84,14600.149,1680317999999,26687946.27278,16078,7333.304,13404148.63320,0
1680318000000,1828.84,1829.38,1826.83,1828.34,11488.396,1680318899999,21002267.98777,10968,5493.287,10043009.39867,0
1680318900000,1828.34,1828.56,1825.54,1825.71,12161.764,1680319799999,22219880.89163,11149,6490.208,11857651.63176,0
1680319800000,1825.71,1827.34,1822.67,1825.33,18147.542,1680320699999,33123965.25335,14435,6595.528,12039102.31171,0
1680320700000,1825.33,1827.00,1825.20,1825.60,8064.788,1680321599999,14727893.68509,8799,5077.045,9271629.25445,0
1680321600000,1825.60,1826.76,1823.65,1825.18,11303.746,1680322499999,20635036.16141,10295,6347.449,11588461.50055,0
1680322500000,1825.18,1826.50,1824.39,1825.80,7893.464,1680323399999,14408911.45460,7869,4260.378,7777157.14060,0
1680323400000,1825.80,1828.76,1825.00,1827.19,11120.096,1680324299999,20315336.37741,10733,6701.976,12243623.61235,0
1680324300000,1827.19,1829.20,1825.97,1826.00,10869.228,1680325199999,19864440.32929,10096,4756.559,8694281.58134,0
1680325200000,1825.99,1826.86,1823.29,1823.83,20037.252,1680326099999,36567769.23317,13595,8773.854,16012650.42371,0
1680326100000,1823.83,1824.72,1818.00,1819.92,28867.452,1680326999999,52587570.02610,20736,10497.265,19127162.66938,0
1680327000000,1819.92,1823.23,1819.52,1822.73,23113.104,1680327899999,42108817.46315,14568,15252.625,27792009.70701,0
1680327900000,1822.72,1825.20,1822.53,1824.78,10297.326,1680328799999,18780833.56792,10542,5248.249,9572340.69837,0
1680328800000,1824.77,1824.98,1822.79,1823.81,9859.916,1680329699999,17982733.59922,10337,4109.231,7494580.23036,0
1680329700000,1823.81,1824.00,1816.30,1817.48,39918.291,1680330599999,72644024.68549,25093,17617.757,32065729.54658,0
1680330600000,1817.47,1819.79,1811.20,1819.21,65988.578,1680331499999,119828642.19185,41749,37511.085,68131244.07505,0
1680331500000,1819.20,1822.85,1818.72,1822.45,17228.823,1680332399999,31368945.66384,15839,8790.063,16005416.16288,0
1680332400000,1822.46,1822.71,1820.46,1821.07,10215.223,1680333299999,18607581.36923,10527,4153.126,7565318.56125,0
1680333300000,1821.07,1823.78,1817.53,1823.26,24610.603,1680334199999,44819375.92398,22955,12949.731,23587442.91939,0
1680334200000,1823.25,1824.59,1822.03,1824.18,12594.826,1680335099999,22969634.35862,15077,6555.913,11956805.07432,0
1680335100000,1824.17,1825.67,1822.50,1823.28,13273.321,1680335999999,24212940.10560,14100,5970.634,10892856.67108,0
1680336000000,1823.28,1824.10,1822.01,1823.59,8812.711,1680336899999,16065055.46382,9060,4400.275,8021904.93125,0
1680336900000,1823.60,1828.12,1820.00,1827.55,26846.215,1680337799999,48969312.72256,21967,15380.327,28061094.23060,0
1680337800000,1827.55,1828.01,1825.14,1825.64,20252.294,1680338699999,36989407.94023,15728,9679.992,17680447.56957,0
1680338700000,1825.64,1826.01,1824.00,1824.71,15081.204,1680339599999,27521176.09876,12631,6991.157,12758375.47363,0
1680339600000,1824.71,1825.80,1824.00,1825.20,11497.715,1680340499999,20982606.34909,11742,5102.922,9312605.69233,0
1680340500000,1825.20,1826.63,1824.41,1825.19,8850.832,1680341399999,16160020.88009,8451,4116.878,7517463.14832,0
1680341400000,1825.19,1827.90,1824.72,1826.16,9549.627,1680342299999,17441131.18991,10184,4899.695,8949294.61153,0
1680342300000,1826.17,1826.18,1823.52,1823.74,7834.144,1680343199999,14293495.76186,8525,2531.916,4619223.51796,0
1680343200000,1823.74,1824.26,1821.90,1822.08,10571.693,1680344099999,19273436.32778,11955,4187.840,7635533.46352,0
1680344100000,1822.09,1824.25,1821.52,1823.80,9564.665,1680344999999,17436323.59124,8761,5860.482,10683136.72129,0
1680345000000,1823.80,1824.29,1823.41,1824.29,4737.082,1680345899999,8640318.97844,7102,2342.304,4272349.21634,0
1680345900000,1824.29,1827.82,1823.42,1826.34,23475.186,1680346799999,42872149.81768,16747,12645.231,23093707.52671,0
1680346800000,1826.34,1828.00,1824.96,1825.43,20186.721,1680347699999,36864921.45248,14877,9257.266,16907144.28569,0
1680347700000,1825.44,1827.19,1824.75,1825.80,10157.149,1680348599999,18544618.76242,9891,4730.375,8637065.24448,0
1680348600000,1825.81,1827.04,1825.15,1825.97,8511.675,1680349499999,15542532.86118,9834,4042.850,7382425.70433,0
1680349500000,1825.98,1825.98,1821.78,1823.45,16211.667,1680350399999,29563921.63371,15641,5514.975,10056285.49650,0
1680350400000,1823.44,1825.00,1821.78,1824.99,16785.422,1680351299999,30605521.20865,13739,8298.434,15132532.42920,0
1680351300000,1825.00,1826.02,1823.44,1825.77,16642.914,1680352199999,30373668.56218,11717,6662.538,12159588.77177,0
1680352200000,1825.76,1826.00,1823.35,1825.65,8774.504,1680353099999,16011656.20759,10126,4334.899,7910825.64108,0
1680353100000,1825.64,1826.44,1823.87,1825.80,15534.994,1680353999999,28361858.72550,12603,9190.953,16780490.47488,0
1680354000000,1825.79,1825.96,1824.84,1824.98,8965.161,1680354899999,16365095.93247,8581,4309.246,7866365.10989,0
1680354900000,1824.98,1825.79,1823.39,1825.32,13971.116,1680355799999,25494742.07738,10509,7014.379,12801159.11660,0
1680355800000,1825.32,1825.75,1823.00,1824.30,10295.558,1680356699999,18782840.69808,10184,4314.014,7870511.65806,0
