open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1759795200000,124628.60,124886.60,124541.80,124850.30,2583.326,1759798799999,322166027.27700,91968,1409.986,175842888.23630,0
1759798800000,124850.40,125047.00,124387.60,124658.00,3426.949,1759802399999,427123442.96590,104899,1543.178,192364207.77050,0
1759802400000,124657.90,124658.00,124100.80,124205.50,3951.964,1759805999999,491476578.99060,111998,1619.286,201390841.06850,0
1759806000000,124205.60,124527.70,124055.00,124277.70,3088.654,1759809599999,383669429.02480,91679,1542.824,191650804.83010,0
1759809600000,124277.80,124631.90,124056.10,124449.80,4457.308,1759813199999,554361960.14470,112143,2729.396,339503060.25870,0
1759813200000,124449.80,124588.00,124176.10,124349.00,3189.712,1759816799999,396743164.27380,91656,1679.676,208941431.56700,0
1759816800000,124349.00,124410.20,123720.30,123852.60,5451.727,1759820399999,675742367.82640,133859,2114.090,262052491.65350,0
1759820400000,123852.60,124009.90,123503.90,123627.10,5057.593,1759823999999,625521055.20050,123189,2252.735,278663037.67970,0
1759824000000,123627.10,123948.70,123261.60,123813.10,8368.861,1759827599999,1034363949.95890,177447,4344.458,537031769.00230,0
1759827600000,123813.10,124199.20,123799.50,124049.20,3346.133,1759831199999,415015573.44590,94837,1877.684,232877922.25250,0
1759831200000,124049.20,124372.00,123951.60,124229.90,3077.951,1759834799999,382333455.14100,78603,1421.292,176554544.98780,0
1759834800000,124229.90,124471.40,124110.70,124397.20,3650.540,1759838399999,453859608.30720,85952,1831.791,227762178.06200,0
1759838400000,124397.10,125098.00,124271.80,124869.50,6261.387,1759841999999,780707160.05600,135289,3821.042,476469622.76340,0
1759842000000,124869.40,125012.90,123300.10,123825.40,15072.644,1759845599999,1868855974.19500,335298,6606.353,819060994.41460,0
1759845600000,123825.40,123943.10,122500.10,122684.00,20125.053,1759849199999,2473949629.32530,433597,8808.905,1082805991.18770,0
1759849200000,122684.10,122819.40,121102.00,121788.30,29512.703,1759852799999,3595608073.06170,589623,13458.324,1639846515.68490,0
1759852800000,121788.20,122049.70,120720.20,121621.50,19089.656,1759856399999,2317867978.54760,369960,8491.176,1031428581.48680,0
1759856400000,121621.60,121763.60,121016.60,121073.10,8127.749,1759859999999,986339734.88990,208319,3592.053,435960692.23570,0
1759860000000,121073.20,121270.10,120516.00,120838.00,12276.786,1759863599999,1483190512.19460,244623,5829.144,704350008.84870,0
1759863600000,120838.00,122000.00,120801.60,121593.60,8700.790,1759867199999,1056810404.73440,198629,5321.458,646483746.07440,0
1759867200000,121593.50,122142.60,121593.50,121885.40,3624.456,1759870799999,442158931.33630,106973,1856.612,226489052.96640,0
1759870800000,121885.40,122255.40,121710.90,121954.10,3058.192,1759874399999,373015068.17540,85960,1414.534,172574193.20320,0
1759874400000,121954.00,122134.80,121735.20,121956.80,1987.061,1759877999999,242235983.18370,75033,887.000,108137601.49470,0
1759878000000,121956.80,121961.10,121218.00,121286.50,4412.152,1759881599999,536274696.95830,120471,1803.752,219206962.72300,0
