open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717200000000,67577.90,67727.80,67572.00,67613.60,1119.873,1717200899999,75760359.10170,18587,565.743,38273675.17580,0
1717200900000,67613.60,67613.60,67535.40,67595.80,704.922,1717201799999,47624963.67620,10533,322.919,21816549.85500,0
1717201800000,67595.80,67673.30,67580.00,67644.60,472.999,1717202699999,31990485.63270,10185,225.853,15275666.94760,0
1717202700000,67644.70,67729.90,67633.90,67690.00,727.657,1717203599999,49253182.45380,10436,454.499,30762057.22370,0
1717203600000,67690.10,67742.10,67625.00,67650.10,693.988,1717204499999,46976242.16960,11178,251.055,16995085.74560,0
1717204500000,67650.00,67668.60,67538.00,67608.60,984.464,1717205399999,66545464.64570,12532,351.454,23756869.37050,0
1717205400000,67608.60,67630.00,67480.00,67540.10,1124.200,1717206299999,75932857.49020,19035,444.013,29991059.24660,0
1717206300000,67540.20,67606.80,67540.10,67600.00,417.163,1717207199999,28192377.90440,7648,205.987,13921348.68400,0
1717207200000,67600.00,67766.40,67584.40,67680.10,849.161,1717208099999,57473996.98950,13894,601.536,40715162.36930,0
1717208100000,67680.10,67714.80,67666.00,67705.10,584.350,1717208999999,39552150.41050,7357,272.240,18427995.18850,0
1717209000000,67705.10,67788.90,67700.00,67723.70,393.548,1717209899999,26654931.50390,8417,206.103,13959638.06070,0
1717209900000,67723.70,67773.80,67716.20,67762.40,283.667,1717210799999,19217975.24240,6785,142.753,9671238.71660,0
1717210800000,67762.50,67785.30,67688.40,67730.00,638.770,1717211699999,43273150.59240,8959,244.811,16585394.76060,0
1717211700000,67729.90,67739.80,67660.80,67700.00,800.159,1717212599999,54155165.01880,8653,248.856,16843771.87280,0
1717212600000,67699.90,67787.40,67691.20,67785.50,559.206,1717213499999,37890722.38480,8282,379.232,25696459.83980,0
1717213500000,67785.50,67800.70,67706.70,67749.90,849.728,1717214399999,57573443.99980,10150,307.297,20823471.43900,0
1717214400000,67750.00,67808.30,67745.10,67746.80,774.247,1717215299999,52477600.40350,10051,434.307,29436114.34530,0
1717215300000,67746.90,67765.30,67692.30,67724.90,329.326,1717216199999,22301401.37530,7623,127.466,8631815.90090,0
1717216200000,67725.00,67770.50,67707.00,67737.10,229.222,1717217099999,15528618.98330,6674,123.571,8371521.59420,0
1717217100000,67737.00,67773.00,67719.10,67719.60,281.078,1717217999999,19043016.19390,7089,136.134,9223035.65580,0
1717218000000,67719.60,67732.20,67660.00,67702.40,449.340,1717218899999,30411048.51810,8322,173.012,11709772.31860,0
1717218900000,67702.40,67728.70,67641.30,67641.30,360.557,1717219799999,24399140.38790,5603,99.423,6728823.34710,0
