1643673600000,38439.04,38442.44,38269.88,38411.11,1619.625,1643673899999,62120261.63836,14712,754.535,28943316.94333,0
1643673900000,38411.11,38611.57,38392.00,38567.47,1814.590,1643674199999,69920696.55252,14340,1237.710,47694696.91877,0
1643674200000,38567.47,38573.60,38469.72,38469.72,783.361,1643674499999,30171186.90027,8651,265.776,10236489.21883,0
1643674500000,38469.73,38488.85,38281.00,38325.61,1365.844,1643674799999,52414531.91171,13070,554.083,21254762.10331,0
1643674800000,38325.61,38421.00,38292.83,38399.33,687.043,1643675099999,26343698.48061,8009,420.056,16105748.52428,0
1643675100000,38399.33,38429.05,38377.92,38420.14,413.745,1643675399999,15887898.69530,4750,153.097,5879090.94308,0
1643675400000,38420.14,38450.00,38338.91,38372.24,536.299,1643675699999,20588516.30447,5836,182.293,7000723.29182,0
1643675700000,38372.23,38379.43,38304.20,38311.14,563.291,1643675999999,21595273.78235,5295,207.013,7936725.34998,0
1643676000000,38311.14,38321.18,38261.67,38292.72,885.857,1643676299999,33921450.50585,8374,409.187,15671061.01967,0
1643676300000,38292.72,38349.25,38250.63,38310.00,1066.108,1643676599999,40821370.73037,8096,680.390,26054388.70477,0
1643676600000,38309.99,38343.13,38303.40,38320.74,258.405,1643676899999,9903086.51251,3565,134.682,5161673.11521,0
1643676900000,38320.74,38333.00,38280.00,38326.19,256.813,1643677199999,9837136.43165,3470,163.517,6263525.19078,0
1643677200000,38326.18,38361.85,38289.04,38309.99,391.969,1643677499999,15022911.33854,5526,209.290,8021819.40641,0
1643677500000,38309.99,38388.21,38292.92,38351.52,487.459,1643677799999,18690881.57833,5245,358.126,13731740.73851,0
1643677800000,38351.51,38370.25,38324.51,38349.88,188.603,1643678099999,7233144.92427,3545,93.289,3578086.82611,0
1643678100000,38349.88,38367.00,38306.41,38315.00,238.527,1643678399999,9142443.21525,3775,102.413,3925257.78112,0
1643678400000,38315.01,38326.91,38296.17,38303.68,213.514,1643678699999,8179267.87903,3270,96.829,3709374.19380,0
1643678700000,38303.67,38316.76,38250.47,38284.18,545.912,1643678999999,20900561.57642,5358,204.288,7822546.81339,0
1643679000000,38284.18,38310.00,38263.30,38265.00,389.159,1643679299999,14898653.27307,4498,162.779,6232843.44528,0
1643679300000,38265.01,38303.58,38263.63,38298.09,427.448,1643679599999,16363705.08294,4642,219.824,8415230.59540,0
1643679600000,38298.09,38313.36,38257.06,38264.19,332.557,1643679899999,12730499.09588,4285,179.627,6876963.32851,0
1643679900000,38264.19,38285.95,38145.00,38176.72,1676.926,1643680199999,64055490.89917,14518,560.095,21398959.15152,0
1643680200000,38176.72,38268.53,38160.75,38198.15,721.112,1643680499999,27548239.00267,8209,409.990,15665036.88271,0
1643680500000,38198.14,38260.82,38198.14,38223.22,376.874,1643680799999,14408145.45547,5295,207.956,7950274.05526,0
1643680800000,38223.22,38286.28,38206.45,38232.13,524.415,1643681099999,20057705.18890,6017,329.454,12602735.43616,0
1643681100000,38232.13,38274.07,38186.20,38233.67,388.850,1643681399999,14861758.81324,5528,219.669,8396478.68729,0
1643681400000,38233.67,38297.82,38232.12,38275.01,544.919,1643681699999,20853854.88157,7895,361.241,13824400.95990,0
1643681700000,38275.01,38339.50,38275.01,38329.24,783.397,1643681999999,30019596.18514,7640,479.017,18355457.73607,0
1643682000000,38329.25,38357.04,38320.01,38353.34,491.341,1643682299999,18835969.25904,4672,347.497,13321816.97021,0
1643682300000,38353.34,38421.68,38344.68,38348.23,768.939,1643682599999,29511533.30573,7141,502.804,19298582.54913,0
1643682600000,38348.23,38437.80,38339.00,38425.11,733.899,1643682899999,28168807.70516,5604,522.300,20050881.25151,0
1643682900000,38424.63,38500.26,38400.02,38469.99,1261.801,1643683199999,48518881.19635,10143,890.017,34223927.60068,0
1643683200000,38469.99,38490.00,38410.28,38431.58,655.433,1643683499999,25199544.19598,6159,227.913,8763657.19079,0
1643683500000,38431.58,38449.54,38410.00,38421.83,278.199,1643683799999,10691290.63282,3712,124.825,4797330.07083,0
1643683800000,38421.83,38489.33,38396.27,38406.85,486.578,1643684099999,18701803.69533,5387,237.359,9125194.53907,0
1643684100000,38406.86,38462.93,38404.02,38458.41,296.954,1643684399999,11410680.88982,3684,171.823,6602560.46791,0
