1633046400000,43799.49,43968.00,43759.64,43951.81,2599.949,1633046699999,114122308.27888,22124,1525.562,66975586.41746,0
1633046700000,43951.81,43964.92,43694.42,43763.29,1541.843,1633046999999,67563209.01598,15759,654.242,28662286.81618,0
1633047000000,43762.43,43844.95,43706.49,43732.84,1648.785,1633047299999,72134148.69944,11070,524.433,22951819.96098,0
1633047300000,43732.84,43792.31,43662.01,43771.23,943.849,1633047599999,41258355.53233,8489,583.253,25495712.31267,0
1633047600000,43771.40,43822.68,43722.68,43810.32,738.337,1633047899999,32324428.24738,6897,357.375,15645807.37875,0
1633047900000,43810.32,43872.47,43791.41,43845.90,731.707,1633048199999,32074207.90295,7071,459.831,20156498.05250,0
1633048200000,43845.95,43960.00,43843.35,43947.54,1497.421,1633048499999,65733941.45617,11501,627.172,27534980.09454,0
1633048500000,43947.03,44043.22,43811.40,43866.74,3292.481,1633048799999,144686327.12607,18827,2043.072,89819654.15295,0
1633048800000,43866.70,43904.09,43812.00,43864.44,709.327,1633049099999,31111950.61975,7601,325.851,14294006.48382,0
1633049100000,43863.97,43874.58,43685.81,43738.87,2146.264,1633049399999,93904769.64076,13448,1115.097,48782371.90437,0
1633049400000,43738.86,43744.36,43651.25,43651.25,1028.275,1633049699999,44929307.51487,7728,269.620,11781654.23909,0
1633049700000,43651.25,43741.10,43637.43,43672.26,513.971,1633049999999,22456731.06767,6843,263.205,11501255.28636,0
1633050000000,43671.50,43672.82,43462.05,43490.29,1941.643,1633050299999,84554543.38633,19600,739.428,32201104.29543,0
1633050300000,43490.28,43610.44,43420.00,43483.20,1161.236,1633050599999,50512580.09342,12928,561.513,24430425.21006,0
1633050600000,43483.68,43530.59,43401.99,43477.34,1179.815,1633050899999,51275427.94027,10620,580.460,25230592.13983,0
1633050900000,43477.34,43570.61,43467.00,43552.50,686.013,1633051199999,29855611.40152,7871,450.991,19628269.92021,0
1633051200000,43552.50,43607.39,43545.01,43583.93,685.318,1633051499999,29868165.92279,7103,438.262,19101635.77883,0
1633051500000,43583.93,43594.77,43535.66,43591.20,524.428,1633051799999,22847053.78833,5453,177.899,7750771.95761,0
1633051800000,43591.20,43656.98,43556.22,43635.33,862.165,1633052099999,37604695.81445,7540,540.800,23588784.16430,0
1633052100000,43635.32,43664.36,43626.60,43649.22,344.039,1633052399999,15015266.48145,4632,189.902,8288340.56647,0
1633052400000,43646.67,43761.71,43632.70,43751.75,765.622,1633052699999,33462911.46332,7905,463.377,20254460.32602,0
1633052700000,43751.76,43782.67,43658.20,43660.98,640.340,1633052999999,27992325.97602,7643,261.804,11445588.16715,0
1633053000000,43660.99,43713.24,43618.27,43662.00,427.162,1633053299999,18653557.93820,5147,265.403,11591785.99800,0
1633053300000,43662.00,43767.08,43662.00,43716.80,629.217,1633053599999,27516269.08730,5721,450.030,19680897.82520,0
1633053600000,43716.80,43772.00,43716.09,43723.03,320.990,1633053899999,14041157.07142,4107,139.439,6099650.19608,0
1633053900000,43723.03,43769.93,43687.77,43724.62,349.993,1633054199999,15303309.75760,4403,194.623,8509818.37210,0
1633054200000,43724.61,43745.99,43616.01,43630.44,641.282,1633054499999,28000505.18735,5716,231.180,10093302.41121,0
