open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714521600000,60651.20,60757.70,60622.70,60652.20,988.137,1714521899999,59970679.20130,18894,535.124,32477235.53070,0
1714521900000,60652.20,60782.10,60632.20,60735.50,563.616,1714522199999,34215438.97120,12346,278.808,16927462.66340,0
1714522200000,60735.60,60816.70,60567.80,60568.00,738.721,1714522499999,44857700.47750,12886,224.320,13628182.07530,0
1714522500000,60568.00,60700.00,60520.10,60522.00,859.622,1714522799999,52081065.94560,14498,460.950,27930174.54460,0
1714522800000,60522.10,60563.90,60449.40,60528.30,950.922,1714523099999,57528400.33030,14704,408.442,24711411.74670,0
1714523100000,60528.40,60550.00,60350.00,60390.80,830.432,1714523399999,50177711.14820,12337,351.513,21237632.03630,0
1714523400000,60390.90,60402.00,60060.60,60300.40,2784.904,1714523699999,167646745.31610,37613,1310.698,78893226.13410,0
1714523700000,60300.40,60387.60,60242.70,60277.30,766.296,1714523999999,46215178.18790,15872,416.553,25121113.94230,0
1714524000000,60277.20,60362.60,60153.10,60331.20,891.620,1714524299999,53725373.63080,16360,457.042,27545192.37160,0
1714524300000,60330.00,60414.10,60287.80,60287.80,493.460,1714524599999,29785445.94040,11127,237.488,14336548.76130,0
1714524600000,60287.90,60287.90,60154.90,60193.20,527.200,1714524899999,31752303.18920,11981,210.846,12698519.41500,0
1714524900000,60193.30,60250.80,60169.10,60217.20,505.454,1714525199999,30433607.13210,9787,253.096,15239888.48450,0
1714525200000,60217.30,60310.70,60174.80,60290.40,571.963,1714525499999,34454712.01560,9675,303.208,18267341.74200,0
1714525500000,60290.40,60304.30,59850.00,59934.00,2015.269,1714525799999,120969994.22610,30114,669.977,40213148.61630,0
1714525800000,59933.90,60074.30,59835.00,59861.00,1561.688,1714526099999,93631623.42930,23690,835.405,50093355.08220,0
1714526100000,59861.10,59982.20,59833.00,59943.00,1262.941,1714526399999,75640812.25740,22284,709.973,42523611.73700,0
1714526400000,59943.00,60290.70,59943.00,60254.90,1696.675,1714526699999,102118877.41040,26543,1036.454,62366852.14580,0
1714526700000,60255.00,60315.90,60200.70,60274.90,493.495,1714526999999,29734193.81160,9911,267.432,16114463.42500,0
1714527000000,60275.00,60378.70,60227.10,60324.70,744.890,1714527299999,44926583.12700,13439,410.431,24756734.48880,0
1714527300000,60324.70,60389.00,60273.70,60366.00,516.894,1714527599999,31181724.99880,9321,291.272,17572551.03630,0
1714527600000,60366.00,60387.00,60214.50,60219.90,528.418,1714527899999,31866850.13810,9093,184.951,11154581.74190,0
1714527900000,60219.80,60224.20,60103.30,60154.60,802.734,1714528199999,48292379.00450,14825,343.310,20652769.84920,0
1714528200000,60154.70,60192.90,60083.10,60100.30,556.306,1714528499999,33455217.42510,9354,195.043,11731215.81090,0
1714528500000,60101.10,60159.10,60007.10,60110.60,539.283,1714528799999,32401739.40990,10480,289.552,17399241.81670,0
1714528800000,60110.60,60159.20,59911.20,59979.50,835.569,1714529099999,50148903.10630,14666,317.614,19065146.51990,0
1714529100000,59979.50,59994.10,59727.00,59773.00,1990.123,1714529399999,119149032.80070,24885,822.992,49294544.15330,0
1714529400000,59773.00,59790.00,59555.00,59555.00,3240.454,1714529699999,193305600.21910,36954,1424.286,84967634.94020,0
1714529700000,59555.10,59849.00,59555.00,59767.90,1512.632,1714529999999,90360899.31860,22766,897.895,53632127.51130,0
1714530000000,59767.80,59771.70,59576.10,59743.70,1264.995,1714530299999,75477091.91830,18667,615.715,36733226.67980,0
1714530300000,59743.80,59793.70,59667.00,59716.60,752.380,1714530599999,44942200.89990,14728,383.411,22902138.14870,0
1714530600000,59716.60,59824.20,59655.00,59665.60,856.451,1714530899999,51166603.62450,13354,400.107,23908628.21170,0
1714530900000,59665.50,59823.20,59628.00,59807.70,712.513,1714531199999,42553250.67140,11830,409.006,24428660.12850,0
1714531200000,59807.70,59922.10,59779.70,59797.10,854.826,1714531499999,51178858.06820,12201,490.870,29388814.25860,0
1714531500000,59797.10,59872.20,59790.70,59854.70,321.785,1714531799999,19254224.09970,6564,160.616,9610598.47530,0
1714531800000,59854.70,59933.20,59817.00,59839.20,502.098,1714532099999,30064027.58600,7955,308.316,18463340.03040,0
1714532100000,59839.10,59963.50,59825.40,59902.40,465.881,1714532399999,27909384.53530,8041,255.812,15325367.12110,0
1714532400000,59902.30,60035.00,59873.00,59963.70,748.046,1714532699999,44863310.76500,11238,398.678,23911580.76110,0
1714532700000,59963.60,60060.80,59963.60,59995.30,899.042,1714532999999,53955625.72670,17539,548.421,32914732.53070,0
1714533000000,59995.30,60082.80,59993.40,60024.30,431.424,1714533299999,25902025.49280,7125,223.096,13394867.34350,0
1714533300000,60024.30,60080.10,59970.40,60040.90,435.796,1714533599999,26154384.49500,8517,211.866,12715777.08070,0
1714533600000,60040.80,60099.00,60036.90,60067.80,418.928,1714533899999,25163243.76220,5950,206.384,12396543.54810,0
1714533900000,60067.80,60082.50,59974.60,59980.20,333.941,1714534199999,20049284.29150,6033,124.718,7488359.23020,0
1714534200000,59980.20,60085.50,59977.70,60051.20,432.199,1714534499999,25945004.74840,6840,236.928,14222915.66660,0
1714534500000,60051.30,60165.00,60051.20,60165.00,597.485,1714534799999,35916628.33150,8229,385.690,23186426.20200,0
1714534800000,60164.90,60218.30,60111.30,60150.10,833.148,1714535099999,50135604.78200,10182,418.397,25178323.51300,0
1714535100000,60150.00,60150.10,60086.40,60150.00,322.112,1714535399999,19365238.96000,6009,131.674,7916511.92090,0
1714535400000,60150.00,60250.00,60143.50,60223.60,498.448,1714535699999,30015501.51120,8549,296.665,17863591.17220,0
1714535700000,60223.50,60294.80,60208.10,60214.00,391.225,1714535999999,23568996.85260,6630,202.102,12176222.51260,0
1714536000000,60214.00,60331.80,60186.80,60283.20,764.914,1714536299999,46102014.16410,9548,383.462,23112433.85440,0
1714536300000,60283.20,60283.20,60223.70,60238.00,329.880,1714536599999,19876668.38600,5506,117.386,7072954.15020,0
1714536600000,60238.10,60318.80,60188.00,60275.50,453.452,1714536899999,27316466.72820,7166,239.581,14433315.76180,0
1714536900000,60275.60,60285.50,60225.80,60278.20,260.064,1714537199999,15672625.31890,5058,118.131,7119474.51040,0
1714537200000,60278.20,60285.00,60248.40,60254.80,215.322,1714537499999,12975891.96970,3676,75.242,4534189.18120,0
1714537500000,60254.80,60272.00,60156.20,60181.30,656.789,1714537799999,39535009.86930,8509,255.841,15399287.34280,0
1714537800000,60181.30,60280.70,60168.90,60273.80,487.014,1714538099999,29339074.08760,7241,295.794,17818506.36100,0
1714538100000,60273.90,60296.00,60237.20,60276.40,335.843,1714538399999,20241726.67280,6203,188.261,11346856.41800,0
1714538400000,60276.30,60284.30,60205.20,60260.80,260.741,1714538699999,15709073.83350,5292,137.987,8314060.53780,0
1714538700000,60260.70,60268.00,60205.00,60229.30,253.030,1714538999999,15241781.23380,4607,123.297,7427026.68200,0
1714539000000,60229.30,60285.50,60181.70,60279.70,292.665,1714539299999,17627275.06140,5487,138.369,8334237.75180,0
1714539300000,60279.80,60311.70,60249.00,60262.60,391.865,1714539599999,23623665.83890,5874,252.707,15234834.23450,0
1714539600000,60262.60,60317.10,60262.60,60276.50,262.726,1714539899999,15841187.15500,4662,159.695,9629312.64360,0
1714539900000,60276.60,60311.00,60230.20,60241.10,268.000,1714540199999,16153126.24540,4785,128.970,7774014.97000,0
1714540200000,60241.10,60243.10,60112.00,60146.90,828.281,1714540499999,49829615.41400,10347,387.241,23294421.05950,0
1714540500000,60146.80,60196.80,60113.00,60175.50,415.657,1714540799999,25003532.82620,6759,212.267,12768853.06170,0
1714540800000,60175.40,60175.40,60055.80,60073.00,754.648,1714541099999,45353420.42410,10407,225.438,13548947.81360,0
1714541100000,60073.00,60081.00,59969.90,60007.60,1189.524,1714541399999,71401952.49460,13338,457.326,27449945.45150,0
1714541400000,60007.60,60092.60,59965.00,60089.90,807.665,1714541699999,48477191.60550,11335,373.501,22420004.77350,0
1714541700000,60089.90,60232.90,60066.40,60148.10,727.191,1714541999999,43760046.68470,11282,396.337,23849361.22520,0
1714542000000,60148.10,60160.50,60005.40,60030.00,550.556,1714542299999,33061803.53880,9316,204.055,12253364.44920,0
1714542300000,60030.00,60057.40,59923.40,59988.00,987.059,1714542599999,59212734.24620,13776,449.821,26985758.18520,0
