1639699200000,47629.10,47988.27,47358.66,47786.19,12027.262,1639702799999,574014295.06857,131544,5877.560,280672844.02302,0
1639702800000,47786.18,47984.00,47700.02,47837.93,5079.844,1639706399999,242997951.29750,72387,2494.055,119321637.35140,0
1639706400000,47837.94,47866.60,47628.00,47804.97,4642.644,1639709999999,221517640.17736,64898,2344.472,111873271.88238,0
1639710000000,47804.96,47809.93,47638.82,47762.21,3205.098,1639713599999,153024683.64994,49300,1622.734,77480728.94558,0
1639713600000,47762.20,47940.00,47737.68,47904.62,3928.525,1639717199999,187956905.23356,58975,2006.466,96007644.31362,0
1639717200000,47904.62,47948.38,47601.60,47695.44,6017.703,1639720799999,287373722.35140,75834,3099.131,148007158.03305,0
1639720800000,47694.85,47733.18,47400.00,47418.40,7115.248,1639724399999,338233524.73127,101169,3459.236,164450059.71596,0
1639724400000,47418.40,47435.42,46700.00,46990.01,23820.587,1639727999999,1119779643.98155,268286,10998.440,517024966.99268,0
1639728000000,46990.00,47179.22,46874.27,47115.74,9697.924,1639731599999,456148501.79018,128863,5439.721,255875727.84906,0
1639731600000,47115.73,47270.00,46950.00,47206.11,6989.071,1639735199999,329319723.99820,109979,3491.731,164566317.56040,0
1639735200000,47206.11,47231.21,46748.79,46931.46,10689.593,1639738799999,502197138.50735,138847,5025.416,236116574.95667,0
1639738800000,46933.33,47285.17,46855.42,47100.00,8979.646,1639742399999,423155045.82194,111769,4620.814,217750819.80119,0
1639742400000,47100.01,47362.52,46911.41,47026.98,9134.037,1639745999999,430548757.83827,125659,4847.625,228532251.93663,0
1639746000000,47025.92,47220.57,46863.87,46935.00,7460.161,1639749599999,351000022.31266,112176,3403.453,160169866.43956,0
1639749600000,46935.00,46990.00,45678.00,45940.29,42113.890,1639753199999,1946856891.61167,443305,19176.980,886380090.64539,0
1639753200000,45944.63,46576.68,45373.11,46487.19,40309.683,1639756799999,1853743019.09864,420520,19799.539,910892615.58188,0
1639756800000,46490.50,47430.00,46351.41,47059.43,33545.677,1639760399999,1573903694.19444,357595,17425.786,817733669.14652,0
1639760400000,47060.69,47064.43,46600.00,46748.83,10788.904,1639763999999,505004331.51229,152521,5057.231,236747420.76939,0
1639764000000,46748.84,47080.26,46605.24,46975.05,9455.585,1639767599999,442340319.88404,120119,5244.565,245414993.49632,0
1639767600000,46975.51,47108.26,46670.00,46742.66,8225.476,1639771199999,385584441.70591,108845,3757.177,176142374.68441,0
1639771200000,46742.66,46820.54,46127.42,46171.27,14003.313,1639774799999,649742156.49719,162408,6359.786,295100806.21074,0
1639774800000,46171.26,47090.38,46096.17,46840.71,14564.436,1639778399999,679320657.03339,161799,8095.796,377471861.94794,0
1639778400000,46840.72,46954.44,45500.00,46522.00,27222.475,1639781999999,1256532918.72090,305429,12079.014,557447306.58730,0
1639782000000,46522.00,46532.14,46064.07,46125.33,7441.353,1639785599999,344653368.91989,118466,3384.631,156776206.98745,0
