open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1664582400000,19411.60,19474.00,19338.00,19393.10,18441.044,1664585999999,357797245.19380,114737,8512.753,165203404.47370,0
1664586000000,19393.10,19424.10,19361.30,19413.20,8934.251,1664589599999,173220242.48620,65729,4780.470,92687066.64500,0
1664589600000,19413.20,19427.90,19376.60,19405.10,6643.363,1664593199999,128909885.47170,52144,3277.763,63602731.59840,0
1664593200000,19405.10,19431.00,19354.90,19408.00,7935.015,1664596799999,153894817.05640,54929,3759.341,72917866.11990,0
1664596800000,19408.00,19412.60,19364.40,19398.40,9146.746,1664600399999,177362543.75100,56968,4239.716,82214256.27120,0
1664600400000,19398.30,19408.30,19266.00,19312.80,19544.511,1664603999999,377569498.56620,122308,9403.129,181629868.74170,0
1664604000000,19312.80,19319.50,19263.90,19286.40,12286.105,1664607599999,237030814.38850,81705,5996.023,115684960.45850,0
1664607600000,19286.40,19338.10,19254.90,19305.50,12346.264,1664611199999,238221301.18820,83814,6228.189,120191025.00300,0
1664611200000,19305.50,19341.90,19297.00,19328.40,9927.384,1664614799999,191826240.71460,62040,4963.005,95901515.76450,0
1664614800000,19328.50,19357.00,19300.20,19323.50,8768.095,1664618399999,169481111.74400,61642,4612.225,89159268.54480,0
1664618400000,19323.50,19358.60,19275.50,19320.80,9705.770,1664621999999,187563328.86310,64601,4702.449,90887386.54530,0
1664622000000,19320.90,19340.00,19140.00,19304.20,33404.517,1664625599999,643016486.78363,195138,14956.845,287948367.80530,0
1664625600000,19304.30,19306.00,19230.30,19288.00,13130.762,1664629199999,253010724.14440,94186,6466.277,124599021.81120,0
1664629200000,19287.90,19396.50,19271.10,19323.50,21004.089,1664632799999,406151717.73000,127188,10861.174,210027849.30060,0
1664632800000,19323.40,19338.00,19275.60,19311.30,11480.888,1664636399999,221708736.48960,78872,5556.383,107315618.41040,0
1664636400000,19311.30,19358.50,19297.00,19322.80,9193.790,1664639999999,177696828.04170,66728,5078.258,98160967.29770,0
1664640000000,19322.90,19345.00,19237.00,19285.90,17553.140,1664643599999,338439019.99610,111699,8484.836,163610944.28450,0
1664643600000,19286.00,19308.10,19236.50,19266.80,10513.639,1664647199999,202669494.24330,67158,5042.667,97219179.04980,0
1664647200000,19266.80,19300.00,19200.00,19290.40,11283.815,1664650799999,217255200.66150,79295,5601.155,107856315.38900,0
1664650800000,19290.30,19319.40,19202.90,19257.00,12937.167,1664654399999,249216544.70500,79010,6064.767,116822929.12030,0
1664654400000,19257.00,19270.00,19190.40,19243.20,10347.470,1664657999999,199006831.21120,71507,5295.251,101836899.26370,0
1664658000000,19243.10,19307.80,19235.00,19281.30,6308.980,1664661599999,121613076.56320,51223,3587.399,69151056.91110,0
1664661600000,19281.20,19328.00,19266.00,19313.80,8123.770,1664665199999,156784728.59520,56777,4078.134,78703254.24340,0
1664665200000,19313.80,19332.00,19281.60,19304.00,5496.434,1664668799999,106103878.83330,40456,2637.323,50914723.84440,0
