1654041600000,320.850,324.600,319.170,324.060,94566.22,1654045199999,30447924.22750,42432,56716.16,18270208.43550,0
1654045200000,324.060,324.460,321.260,322.890,43703.55,1654048799999,14098799.37180,23933,19400.08,6259078.66200,0
1654048800000,322.890,322.990,320.020,321.170,34802.44,1654052399999,11171468.95790,22649,18293.73,5871464.97620,0
1654052400000,321.130,321.260,318.330,319.100,53083.91,1654055999999,16966490.60420,28528,23329.49,7456349.17170,0
1654056000000,319.100,320.900,318.140,320.520,58768.15,1654059599999,18783740.60580,29835,33312.15,10648577.27970,0
1654059600000,320.540,320.960,317.510,317.950,47250.13,1654063199999,15082809.21740,25609,19699.25,6289645.93700,0
1654063200000,317.950,319.080,316.250,318.620,48531.72,1654066799999,15428797.83730,26245,23699.12,7537183.43980,0
1654066800000,318.630,319.800,317.010,317.240,42623.12,1654070399999,13570729.73910,25371,21185.15,6746787.29990,0
1654070400000,317.250,319.440,316.520,318.910,57043.95,1654073999999,18166404.41770,25508,29192.99,9299167.35160,0
1654074000000,318.930,320.230,318.270,320.080,32144.45,1654077599999,10264620.60050,18459,16763.67,5355854.24420,0
1654077600000,320.080,321.150,317.040,317.600,71855.25,1654081199999,22926782.55780,28642,35336.08,11275077.20690,0
1654081200000,317.600,318.600,314.060,316.430,71680.76,1654084799999,22666591.16180,37279,30238.86,9566533.60020,0
1654084800000,316.430,318.500,314.000,317.590,77859.36,1654088399999,24641801.19950,34982,35264.84,11166574.63800,0
1654088400000,317.600,320.120,317.000,318.630,66854.45,1654091999999,21304651.32680,35012,33182.92,10576542.45890,0
1654092000000,318.610,319.190,311.000,312.500,124902.71,1654095599999,39262487.53236,62841,53601.36,16850978.57050,0
1654095600000,312.490,313.040,304.810,305.230,177174.05,1654099199999,54656397.18584,79911,80704.98,24897648.16440,0
1654099200000,305.270,305.440,302.200,304.160,201203.05,1654102799999,61117143.48024,68956,97448.60,29606502.98120,0
1654102800000,304.150,304.210,300.040,302.700,116025.35,1654106399999,35023810.23230,50855,58074.99,17531767.54810,0
1654106400000,302.700,304.500,301.230,302.670,97136.14,1654109999999,29448811.79460,43011,50030.36,15168304.17760,0
1654110000000,302.660,304.000,301.500,303.120,48752.97,1654113599999,14761992.81370,28324,23873.09,7228485.16250,0
1654113600000,303.110,303.520,297.150,299.490,112832.54,1654117199999,33841301.16467,53330,50365.85,15112368.99220,0
1654117200000,299.440,300.360,297.810,298.000,30551.94,1654120799999,9144575.57310,20596,13965.41,4179905.16990,0
1654120800000,297.990,300.980,297.500,300.690,50278.39,1654124399999,15058763.85130,26493,24511.91,7339560.77300,0
1654124400000,300.690,302.320,299.860,300.250,58866.41,1654127999999,17738883.28320,28372,26032.60,7847164.24620,0
