open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1748736000000,156.3600,156.5900,156.1600,156.3200,102602.34,1748736899999,16041084.657600,16053,45385.41,7095530.637400,0
1748736900000,156.3100,156.3900,155.6200,155.7400,172968.23,1748737799999,26974409.397430,25065,62381.23,9730357.805600,0
1748737800000,155.7400,156.2100,155.6200,156.1400,108400.97,1748738699999,16901094.254000,17136,54932.08,8564711.523500,0
1748738700000,156.1400,156.3100,155.8100,156.1400,58648.28,1748739599999,9155456.728700,11730,33680.88,5258574.412900,0
1748739600000,156.1300,156.3500,155.5400,156.3400,112774.74,1748740499999,17577697.822400,16639,51648.93,8051037.933000,0
1748740500000,156.3500,156.6500,155.5900,155.9700,183536.52,1748741399999,28630850.919400,19489,90866.26,14172159.235100,0
1748741400000,155.9700,156.0800,155.1600,155.3000,107479.42,1748742299999,16708504.540100,18251,41932.71,6519395.092100,0
1748742300000,155.2900,155.6200,154.5200,155.1100,203426.45,1748743199999,31532045.075530,23215,84981.14,13175554.923600,0
1748743200000,155.1000,155.1400,154.1900,154.3100,277737.19,1748744099999,42939604.689300,33819,131144.01,20281890.260100,0
1748744100000,154.3100,155.0000,154.3100,154.8700,146966.54,1748744999999,22735786.183600,20895,72067.07,11150445.678200,0
1748745000000,154.8700,155.2700,154.8700,154.9500,99604.49,1748745899999,15448013.274200,15554,55471.93,8603824.189900,0
1748745900000,154.9600,155.2600,154.6400,154.7200,67541.97,1748746799999,10459486.789900,14346,33716.08,5221754.817600,0
1748746800000,154.7300,154.8300,153.7700,154.0600,163009.27,1748747699999,25143517.596040,21525,52851.62,8152629.653300,0
1748747700000,154.0500,154.2600,153.2600,153.6600,225707.74,1748748599999,34683843.871350,30893,108515.46,16678935.929900,0
1748748600000,153.6600,154.1900,153.6200,154.0800,92464.92,1748749499999,14234013.757100,15205,61043.01,9396778.726600,0
1748749500000,154.0800,154.7400,154.0700,154.6200,97428.37,1748750399999,15057310.893630,19510,65399.39,10106981.603330,0
1748750400000,154.6300,155.0300,154.4600,154.8900,104712.62,1748751299999,16200248.203300,15092,66163.83,10237485.800100,0
1748751300000,154.8800,155.2200,154.8700,155.1800,84072.55,1748752199999,13038220.549400,11679,45030.47,6983155.672400,0
1748752200000,155.1900,155.6700,155.1900,155.6300,148135.90,1748753099999,23038268.310700,17300,97686.25,15192744.260900,0
1748753100000,155.6300,155.8700,155.3500,155.4000,75401.82,1748753999999,11730237.410330,19310,31819.48,4951277.458830,0
1748754000000,155.3900,155.7700,155.3300,155.6900,62259.72,1748754899999,9683278.187500,11815,37181.13,5782574.160300,0
1748754900000,155.6900,155.8300,155.3400,155.4600,105366.85,1748755799999,16391983.544900,12303,36716.84,5714301.121700,0
1748755800000,155.4600,155.8200,155.3300,155.3400,67999.74,1748756699999,10576728.503300,10331,27805.25,4326115.920200,0
1748756700000,155.3300,155.3800,155.0200,155.2900,53316.25,1748757599999,8275590.417000,9606,24523.05,3806518.707000,0
1748757600000,155.2800,155.3200,154.8300,154.9600,87881.17,1748758499999,13620395.794000,12402,34238.98,5306572.864800,0
1748758500000,154.9500,154.9900,154.5100,154.8700,101648.84,1748759399999,15731694.607430,19906,40817.96,6318137.776400,0
1748759400000,154.8700,155.3700,154.8700,154.9800,66314.80,1748760299999,10288221.336400,10389,30906.53,4795387.102600,0
1748760300000,154.9800,155.1200,154.6400,154.7200,63454.99,1748761199999,9825977.267600,9967,26623.94,4122687.096200,0
1748761200000,154.7100,154.7200,154.1900,154.6300,99550.98,1748762099999,15375846.829300,14870,50413.05,7787368.045600,0
1748762100000,154.6300,154.8400,154.2900,154.5800,53745.06,1748762999999,8309584.482500,10966,27970.59,4324807.856200,0
1748763000000,154.5800,154.6100,154.1400,154.3400,61043.84,1748763899999,9421297.775600,11532,32770.91,5058118.478700,0
1748763900000,154.3400,154.4200,154.0200,154.3500,73410.55,1748764799999,11323292.349200,12138,27930.88,4309238.935000,0
1748764800000,154.3500,154.5500,153.8000,153.9200,112732.70,1748765699999,17369049.423340,16507,41387.52,6378468.500600,0
1748765700000,153.9300,154.0000,153.2900,153.4100,230249.44,1748766599999,35365675.525550,22434,88901.49,13656422.200500,0
1748766600000,153.4100,153.8200,153.0300,153.3900,247969.37,1748767499999,38042520.087400,30973,117468.19,18023995.929700,0
1748767500000,153.3800,153.4700,152.8100,153.2500,177958.15,1748768399999,27250194.329700,21843,82667.25,12661522.272600,0
1748768400000,153.2500,153.6900,152.2500,152.6900,316076.69,1748769299999,48279850.854880,34115,151526.50,23151910.221100,0
