open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717200000000,67577.90,67620.50,67572.00,67608.70,129.521,1717200059999,8754783.34020,1732,94.507,6387683.53190,0
1717200060000,67608.70,67620.00,67587.70,67597.40,77.763,1717200119999,5257471.55400,1153,28.047,1896239.36280,0
1717200120000,67597.30,67624.60,67588.20,67619.50,39.051,1717200179999,2640312.89690,814,23.807,1609723.82110,0
1717200180000,67619.50,67658.50,67606.00,67641.60,112.241,1717200239999,7591573.67780,1655,68.975,4665400.04770,0
1717200240000,67641.50,67680.70,67638.50,67680.40,106.172,1717200299999,7184451.95950,1579,74.660,5052056.89290,0
1717200300000,67680.40,67721.30,67667.20,67675.10,158.152,1717200359999,10706454.59800,2589,102.176,6917321.46870,0
1717200360000,67675.10,67676.10,67669.20,67675.20,40.055,1717200419999,2710623.76030,607,16.021,1084186.77680,0
1717200420000,67675.20,67727.80,67675.20,67697.00,92.149,1717200479999,6239636.77300,1705,51.624,3495525.39510,0
1717200480000,67697.00,67697.10,67678.10,67678.10,70.659,1717200539999,4782680.29850,1041,17.150,1160839.05700,0
1717200540000,67678.10,67678.10,67641.60,67641.60,57.737,1717200599999,3906224.03500,1225,10.122,684829.30640,0
1717200600000,67641.60,67658.60,67639.60,67654.90,46.173,1717200659999,3123601.55110,801,30.108,2036774.35050,0
1717200660000,67654.90,67673.20,67644.30,67644.30,59.158,1717200719999,4002561.32880,978,19.065,1289898.09490,0
1717200720000,67644.30,67644.40,67618.10,67618.10,30.545,1717200779999,2065829.18250,878,4.050,273891.16760,0
1717200780000,67618.10,67618.20,67596.50,67596.50,73.603,1717200839999,4975930.60630,1240,9.458,639404.84050,0
1717200840000,67596.50,67619.70,67596.10,67613.60,26.894,1717200899999,1818223.53980,590,15.973,1079901.06190,0
1717200900000,67613.60,67613.60,67580.30,67584.20,51.018,1717200959999,3448413.70540,1014,9.622,650325.89480,0
1717200960000,67584.10,67584.20,67554.40,67568.10,85.510,1717201019999,5777754.78200,1364,36.080,2437864.03720,0
1717201020000,67568.00,67568.10,67537.90,67540.00,61.501,1717201079999,4154680.41300,920,7.837,529445.54820,0
1717201080000,67540.00,67556.90,67539.90,67548.20,57.994,1717201139999,3917374.68740,779,36.334,2454259.33810,0
1717201140000,67548.30,67564.40,67544.00,67564.40,30.966,1717201199999,2091887.72420,642,18.614,1257498.01190,0
1717201200000,67564.30,67564.40,67537.90,67537.90,47.713,1717201259999,3223044.89100,684,7.546,509748.23940,0
1717201260000,67538.00,67562.90,67535.40,67561.70,94.515,1717201319999,6384091.97400,995,64.451,4353422.35420,0
1717201320000,67561.70,67561.70,67538.50,67542.80,20.116,1717201379999,1358743.28460,405,3.625,244833.93350,0
1717201380000,67542.90,67544.80,67537.50,67544.70,23.779,1717201439999,1606059.38300,387,8.034,542617.86430,0
1717201440000,67544.80,67550.40,67544.70,67545.80,48.382,1717201499999,3268158.44180,504,12.312,831650.26310,0
1717201500000,67545.70,67561.00,67540.00,67560.90,48.532,1717201559999,3278181.95450,589,28.476,1923477.56590,0
1717201560000,67561.00,67576.80,67560.90,67576.80,26.033,1717201619999,1759069.15710,541,23.927,1616760.59460,0
1717201620000,67576.70,67576.80,67566.70,67572.30,17.062,1717201679999,1152899.04080,399,5.635,380763.84640,0
1717201680000,67572.30,67597.50,67569.80,67592.70,36.371,1717201739999,2458011.26300,754,34.167,2309054.88560,0
1717201740000,67592.60,67595.90,67582.30,67595.80,55.430,1717201799999,3746592.97440,556,26.259,1774827.47780,0
1717201800000,67595.80,67641.30,67595.80,67632.40,55.344,1717201859999,3742725.85930,1434,38.132,2578646.00580,0
1717201860000,67632.10,67659.00,67632.00,67655.50,31.161,1717201919999,2107975.10230,701,20.441,1382768.73440,0
1717201920000,67655.60,67666.80,67651.30,67652.20,33.042,1717201979999,2235568.61440,569,7.847,530932.60230,0
1717201980000,67652.30,67668.30,67640.70,67668.30,27.774,1717202039999,1878940.73850,597,17.674,1195683.58520,0
1717202040000,67668.20,67673.30,67636.10,67636.10,44.798,1717202099999,3030974.91400,794,14.845,1004444.56350,0
1717202100000,67636.10,67636.10,67601.40,67609.60,36.105,1717202159999,2441167.13460,723,5.628,380488.12100,0
1717202160000,67609.70,67609.70,67580.00,67580.10,32.011,1717202219999,2163519.50390,637,1.310,88546.74400,0
1717202220000,67580.00,67610.00,67580.00,67610.00,20.167,1717202279999,1363222.45190,548,13.606,919656.36570,0
1717202280000,67610.00,67630.70,67609.90,67617.10,19.438,1717202339999,1314466.68820,592,11.963,808970.16510,0
1717202340000,67617.10,67626.00,67611.70,67617.10,13.720,1717202399999,927735.53080,453,9.849,665992.43110,0
1717202400000,67617.20,67626.80,67611.20,67626.80,30.518,1717202459999,2063647.75180,578,10.425,704928.35870,0
1717202460000,67626.80,67660.30,67626.80,67660.20,40.846,1717202519999,2763352.52280,834,30.289,2049082.86620,0
1717202520000,67660.30,67660.30,67639.50,67643.90,39.447,1717202579999,2668436.97860,699,19.388,1311503.68420,0
1717202580000,67643.80,67643.90,67623.70,67630.00,13.774,1717202639999,931573.13050,459,3.665,247864.73980,0
1717202640000,67630.00,67644.70,67620.60,67644.60,34.854,1717202699999,2357178.71110,567,20.791,1406157.98060,0
1717202700000,67644.70,67649.10,67633.90,67634.00,11.141,1717202759999,753585.15750,469,4.320,292216.40770,0
1717202760000,67634.00,67703.00,67633.90,67699.30,240.379,1717202819999,16267543.04180,2416,212.400,14373953.42250,0
1717202820000,67699.40,67699.40,67675.00,67680.20,40.194,1717202879999,2720542.99350,817,8.984,608073.87810,0
1717202880000,67680.10,67680.10,67659.90,67663.90,23.838,1717202939999,1613137.61830,565,18.660,1262745.84610,0
1717202940000,67663.90,67692.40,67656.00,67683.10,58.563,1717202999999,3962991.23240,931,50.858,3441584.54780,0
1717203000000,67683.10,67710.00,67683.10,67706.30,42.770,1717203059999,2895590.06570,693,27.538,1864401.19390,0
1717203060000,67706.30,67729.90,67700.40,67724.90,76.221,1717203119999,5161235.82650,1162,43.769,2963808.11750,0
1717203120000,67725.00,67725.00,67703.60,67709.40,44.783,1717203179999,3032310.59970,694,21.562,1459933.05740,0
1717203180000,67709.30,67720.20,67709.30,67712.00,15.647,1717203239999,1059543.39770,453,8.068,546329.70020,0
1717203240000,67712.00,67712.10,67710.00,67710.00,13.252,1717203299999,897295.17400,222,5.715,386963.30880,0
1717203300000,67710.10,67710.10,67691.10,67691.10,45.919,1717203359999,3108832.06020,512,6.691,452981.11340,0
1717203360000,67691.10,67691.10,67685.50,67685.60,43.835,1717203419999,2967078.32540,331,6.295,426083.33060,0
1717203420000,67685.60,67685.60,67680.30,67680.40,15.042,1717203479999,1018086.66660,287,4.441,300581.41940,0
1717203480000,67680.40,67690.30,67680.30,67690.30,27.033,1717203539999,1829690.02550,433,21.521,1456612.42220,0
1717203540000,67690.20,67698.50,67687.00,67690.00,29.040,1717203599999,1965720.26900,451,13.677,925789.45810,0
1717203600000,67690.10,67696.70,67687.00,67687.10,34.434,1717203659999,2330848.39150,672,6.833,462524.92600,0
1717203660000,67687.10,67702.20,67680.10,67700.50,45.182,1717203719999,3058457.97910,700,25.371,1717482.02720,0
1717203720000,67700.60,67707.00,67694.60,67707.00,63.274,1717203779999,4283823.88360,544,15.087,1021389.89060,0
1717203780000,67706.90,67720.40,67706.90,67720.40,30.001,1717203839999,2031451.45870,612,20.823,1409987.44700,0
1717203840000,67720.40,67742.10,67711.00,67713.10,117.828,1717203899999,7980032.32830,1618,61.096,4137794.01130,0
1717203900000,67713.10,67727.10,67709.00,67709.10,56.550,1717203959999,3829225.46700,794,19.230,1302167.67850,0
1717203960000,67709.00,67718.70,67690.60,67690.70,45.652,1717204019999,3090804.69650,674,6.689,452852.71300,0
1717204020000,67690.60,67690.60,67653.30,67653.40,54.036,1717204079999,3656278.63270,973,12.197,825239.25080,0
1717204080000,67653.30,67653.40,67625.00,67629.90,54.217,1717204139999,3667041.93700,1061,14.608,988016.86330,0
1717204140000,67630.00,67676.00,67629.90,67676.00,18.320,1717204199999,1239442.92660,612,13.795,933307.18780,0
1717204200000,67676.00,67700.00,67675.90,67690.70,43.992,1717204259999,2977992.06370,849,30.920,2093080.65470,0
1717204260000,67690.70,67690.70,67657.00,67657.10,85.659,1717204319999,5796959.64520,925,6.395,432702.06750,0
1717204320000,67657.10,67657.10,67650.10,67650.20,12.951,1717204379999,876160.83460,326,3.693,249833.44440,0
1717204380000,67650.20,67663.80,67643.50,67663.80,19.842,1717204439999,1342388.63490,477,8.401,568342.17060,0
1717204440000,67663.80,67663.80,67650.00,67650.10,12.050,1717204499999,815333.29020,341,5.917,400365.41290,0
1717204500000,67650.00,67668.60,67643.10,67643.10,29.632,1717204559999,2004672.06410,676,15.792,1068396.40780,0
1717204560000,67643.10,67643.20,67640.00,67640.10,35.058,1717204619999,2371332.96350,363,2.481,167815.23930,0
1717204620000,67640.00,67640.10,67633.00,67633.00,40.682,1717204679999,2751543.02210,392,10.223,691413.72360,0
1717204680000,67633.10,67633.10,67632.00,67632.00,26.535,1717204739999,1794639.10100,314,3.460,234008.86100,0
1717204740000,67632.00,67640.80,67592.00,67593.10,118.527,1717204799999,8013770.61620,1652,22.745,1538174.03120,0
1717204800000,67593.10,67610.10,67582.00,67583.40,82.615,1717204859999,5584765.79190,1146,15.568,1052348.39190,0
1717204860000,67583.40,67601.20,67566.30,67569.80,88.418,1717204919999,5975809.19850,1348,17.691,1195686.62610,0
1717204920000,67569.90,67587.30,67538.00,67559.10,167.980,1717204979999,11348365.68710,1820,39.140,2644274.99200,0
1717204980000,67559.70,67593.40,67559.70,67577.80,70.686,1717205039999,4776974.58950,809,39.008,2635999.48210,0
1717205040000,67577.90,67597.70,67567.70,67593.70,59.233,1717205099999,4002857.13400,769,20.245,1368165.86400,0
1717205100000,67593.70,67593.70,67581.10,67582.90,28.208,1717205159999,1906451.35430,482,12.489,844033.23040,0
1717205160000,67582.90,67623.80,67582.90,67607.00,141.179,1717205219999,9543918.50650,1333,95.592,6461904.20830,0
1717205220000,67607.00,67609.00,67593.10,67604.10,66.789,1717205279999,4514989.46500,707,42.588,2878938.54160,0
1717205280000,67604.10,67611.90,67604.10,67608.60,20.102,1717205339999,1359075.39950,432,11.259,761191.88150,0
1717205340000,67608.60,67608.60,67606.60,67608.60,8.820,1717205399999,596299.75250,289,3.173,214517.88970,0
1717205400000,67608.60,67630.00,67608.60,67629.90,32.296,1717205459999,2183943.47980,607,25.792,1744086.23040,0
1717205460000,67629.90,67630.00,67606.50,67606.50,57.171,1717205519999,3865960.15980,1012,7.666,518339.22150,0
1717205520000,67606.50,67609.60,67595.40,67609.60,35.055,1717205579999,2369879.75980,780,11.101,750464.59600,0
1717205580000,67609.60,67628.50,67604.60,67623.40,24.904,1717205639999,1683926.01530,776,17.510,1183969.60400,0
1717205640000,67623.30,67630.00,67614.00,67614.10,45.658,1717205699999,3087516.11530,1015,34.769,2351165.33900,0
1717205700000,67614.00,67619.30,67607.00,67619.30,32.406,1717205759999,2190956.12720,536,25.533,1726251.03610,0
1717205760000,67619.30,67619.30,67597.80,67597.90,16.721,1717205819999,1130445.74830,730,2.014,136158.47280,0
1717205820000,67597.80,67604.40,67590.00,67604.40,64.735,1717205879999,4375745.25790,840,15.139,1023354.20390,0
1717205880000,67604.30,67604.40,67496.00,67496.00,231.196,1717205939999,15615178.43500,4135,26.531,1792221.45470,0
1717205940000,67496.00,67534.50,67484.50,67501.70,183.713,1717205999999,12401089.73470,2430,57.339,3870362.96760,0
1717206000000,67501.60,67526.30,67480.00,67516.30,198.665,1717206059999,13410809.97610,2552,110.063,7429899.36150,0
1717206060000,67516.30,67532.40,67504.20,67525.50,48.342,1717206119999,3263893.88630,970,30.749,2076011.09760,0
1717206120000,67525.40,67525.50,67506.80,67511.10,24.362,1717206179999,1644757.72730,785,6.836,461532.59420,0
1717206180000,67511.10,67528.20,67502.00,67512.20,68.668,1717206239999,4636007.29670,1121,31.013,2093804.61980,0
1717206240000,67512.30,67545.50,67512.30,67540.10,60.308,1717206299999,4072747.77070,746,41.958,2833438.44750,0
1717206300000,67540.20,67570.90,67540.10,67570.80,31.137,1717206359999,2103646.01930,656,22.418,1514588.75620,0
1717206360000,67570.90,67582.30,67559.00,67578.40,42.729,1717206419999,2887280.95000,738,21.302,1439436.17050,0
1717206420000,67578.50,67580.00,67576.40,67576.50,11.628,1717206479999,785795.10670,343,5.957,402558.59370,0
1717206480000,67576.40,67595.40,67575.20,67588.50,33.493,1717206539999,2263563.64230,571,10.895,736351.36890,0
1717206540000,67588.50,67588.50,67572.50,67572.60,14.370,1717206599999,971086.64430,396,5.427,366740.04160,0
1717206600000,67572.60,67572.60,67559.30,67559.40,25.687,1717206659999,1735542.31340,574,6.078,410647.11180,0
1717206660000,67559.40,67575.90,67559.30,67575.90,14.742,1717206719999,996004.87840,366,6.100,412141.78010,0
1717206720000,67575.90,67578.70,67565.90,67575.90,11.198,1717206779999,756693.28070,414,1.197,80882.66410,0
1717206780000,67575.90,67595.10,67575.90,67595.10,18.183,1717206839999,1228896.58740,392,13.896,939156.41170,0
1717206840000,67595.10,67595.10,67591.10,67591.10,5.511,1717206899999,372515.08410,296,1.926,130188.15480,0
1717206900000,67591.10,67595.90,67591.10,67595.90,14.079,1717206959999,951641.70170,313,11.180,755693.97740,0
1717206960000,67595.90,67598.00,67593.90,67598.00,27.075,1717207019999,1830189.38290,470,9.584,647849.89290,0
1717207020000,67598.00,67606.80,67576.00,67580.50,71.746,1717207079999,4849732.28000,886,48.391,3271106.31000,0
1717207080000,67580.60,67600.00,67567.40,67598.20,76.071,1717207139999,5140688.21460,894,28.441,1922059.95790,0
1717207140000,67598.30,67600.00,67594.20,67600.00,19.514,1717207199999,1319101.81860,339,13.195,891947.49240,0
1717207200000,67600.00,67623.10,67584.40,67623.10,75.990,1717207259999,5137134.79280,1348,59.627,4030988.53070,0
1717207260000,67623.10,67633.30,67623.10,67631.30,36.777,1717207319999,2487276.55770,717,19.385,1311024.73520,0
1717207320000,67631.40,67649.40,67625.50,67638.10,59.462,1717207379999,4021935.81190,1475,42.309,2861801.43350,0
1717207380000,67638.00,67644.40,67631.80,67631.80,17.505,1717207439999,1184018.94790,429,8.525,576626.97050,0
